Soil ID	Lab ID	Nitrogen %	Nitrogen mg/kg	Carbon %	Carbon mg/kg	Analysis Date/Time
HON	MF-1	0.5	5018.6	5.32	53152	29/01/2024 13:27
HOS	MF-2	0.5	4967	5.23	52258	29/01/2024 13:35
HOE	MF-3	0.47	4684.2	5.24	52362	29/01/2024 13:43
HOW	MF-4	0.46	4575.1	5.1	51028	29/01/2024 13:51
HOC	MF-5	0.53	5338.1	6.25	62509	29/01/2024 13:58
HHN	MF-6	0.42	4179.8	4.95	49516	29/01/2024 14:06
HHS	MF-7	0.48	4848.2	5.57	55723	29/01/2024 14:13
HHE	MF-8	0.47	4693.9	5.27	52723	29/01/2024 14:21
HHW	MF-9	0.52	5210.6	5.81	58050	29/01/2024 14:28
HHC	MF-10	0.52	5215.2	5.93	59314	29/01/2024 14:35
HMN	MF-11	0.68	6771.4	8.05	80538	29/01/2024 14:43
HMS	MF-12	0.58	5808.5	7.27	72708	29/01/2024 14:50
HME	MF-13	0.65	6547.8	7.3	72994	29/01/2024 14:57
HMW	MF-14	0.62	6201.9	7.02	70155	29/01/2024 15:09
HMC	MF-15	0.84	8421.5	9.84	98380	26/01/2024 15:31
HWN	MF-16	0.5	5019.2	5.12	51186	26/01/2024 17:06
HWS	MF-17	0.61	6071.2	6.58	65797	26/01/2024 17:13
HWE	MF-18	0.54	5402.7	5.82	58183	26/01/2024 17:19
HWW	MF-19	0.52	5194.8	5.69	56900	26/01/2024 17:25
HWC	MF-20	0.44	4366.3	4.67	46743	29/01/2024 13:19
HBN	MF-21	0.53	5304	6.32	63221	29/01/2024 16:01
HBS	MF-22	0.5	5046.4	5.39	53895	29/01/2024 16:08
HBE	MF-23	0.41	4111.4	4.79	47876	29/01/2024 16:15
HBW	MF-24	0.57	5729.9	6.27	62707	29/01/2024 16:22
HBC	MF-25	0.52	5249.1	5.94	59355	29/01/2024 16:29
HGN	MF-26	0.91	9065.4	9.54	95399	29/01/2024 16:36
HGS	MF-27	0.75	7482.6	8.53	85270	29/01/2024 16:43
HGE	MF-28	0.88	8774.4	9.45	94511	29/01/2024 16:50
HGW	MF-29	0.77	7716.6	7.6	75981	29/01/2024 16:57
HGC	MF-30	0.53	5332.7	6.36	63596	29/01/2024 17:05
PNN	MF-31	0.56	5564.1	6.71	67055	29/01/2024 17:12
PNS	MF-32	0.51	5062.2	8.44	84368	29/01/2024 17:19
PNE	MF-33	0.51	5114.8	6.46	64623	29/01/2024 17:26
PNW	MF-34	0.28	2821.6	7.19	71866	02/08/2024 14:27
PNC	MF-35	0.5	4975.7	7.24	72351	02/08/2024 14:33
PSN	MF-36	0.58	5832.2	6.14	61352	02/08/2024 14:39
PSS	MF-37	0.66	6573.8	5.04	50423	02/08/2024 14:45
PSE	MF-38	0.44	4433.1	6.11	61136	02/08/2024 14:51
PSW	MF-39	0.78	7796.4	5.42	54229	02/08/2024 14:58
PSC	MF-40	0.61	6108.7	5.66	56606	02/08/2024 15:04
PEN	MF-41	0.6	6018.6	5.49	54857	02/08/2024 15:10
PES	MF-42	0.56	5561	5.37	53736	02/08/2024 15:16
PEE	MF-43	0.64	6386.1	5.88	58804	02/08/2024 15:22
PEW	MF-44	0.61	6088.9	5.2	52021	02/08/2024 15:28
PEC	MF-45	0.92	9198.4	5.34	53433	02/08/2024 15:34
PWN	MF-46	0.58	5776.5	5.82	58168	02/08/2024 15:40
PWS	MF-47	1.05	10512	4.94	49419	02/08/2024 15:47
PWE	MF-48	0.8	8027.7	4.25	42466	02/08/2024 15:53
PWW	MF-49	NA	NA	NA	NA	aborted
PWC	MF-50	0.58	5769.5	4.76	47554	02/08/2024 16:03
