Site	Plot	Trap	Core Length (cm)	Hole Depth (cm)	Hole Volume (cm3)	Tray Weight (g)	Total Wet Weight (g)	Wet soil (g)	Total Dry Weight (g)	Dry soil (g)	Water Weight (g)	% Water	<2mm tare (g)	<2mm total (g)	<2mm mass (g)	Analysis Mass (g)
H	HO	N	7.5	9	572.5552611	5.09	168.66	163.57	114.89	109.8	53.77	32.87277618	2.25	97.23	94.98	0.96
H	HO	S	9.5	11	699.7897636	5.06	211.2	206.14	150.29	145.23	60.91	29.54788008	2.22	130.32	128.1	0.703
H	HO	E	8.5	10	636.1725124	5.13	201.12	195.99	130.45	125.32	70.67	36.05796214	2.29	95.91	93.62	0.614
H	HO	W	8.5	9.5	604.3638867	5.1	188.17	183.07	126.9	121.8	61.27	33.46807232	2.28	99.68	97.4	0.594
H	HO	C	8	9	572.5552611	5.11	188.42	183.31	129.18	124.07	59.24	32.31684033	2.21	103.92	101.71	0.527
H	HH	N	7.5	8.5	540.7466355	5.08	195.82	190.74	143.27	138.19	52.55	27.55059243	2.26	131.62	129.36	0.562
H	HH	S	7.5	9	572.5552611	5.98	178.73	172.75	125.95	119.97	52.78	30.552822	2.18	100.43	98.25	0.73
H	HH	E	7.5	10	636.1725124	6.11	184.05	177.94	131.76	125.65	52.29	29.38630999	2.38	116.76	114.38	0.801
H	HH	W	8.5	9.5	604.3638867	5.18	190.3	185.12	130.56	125.38	59.74	32.27095938	2.31	111.84	109.53	0.747
H	HH	C	7	9.5	604.3638867	5.07	162.13	157.06	112.74	107.67	49.39	31.44658092	2.32	100.97	98.65	0.677
H	HW	N	6	9.5	604.3638867	5.32	127.96	122.64	85.56	80.24	42.4	34.5727332	2.32	77.6	75.28	0.592
H	HW	S	8.5	10	636.1725124	5.69	176.22	170.53	115.78	110.09	60.44	35.44244414	2.2	95.56	93.36	0.616
H	HW	E	6.5	10	636.1725124	5.97	147.21	141.24	99.01	93.04	48.2	34.12630983	2.27	88.27	86	0.595
H	HW	W	7.5	10	636.1725124	5.09	175.27	170.18	117.68	112.59	57.59	33.84063932	2.23	101.43	99.2	0.648
H	HW	C	8	10	636.1725124	5.7	196.79	191.09	131.89	126.19	64.9	33.96305406	2.22	11.78	95.56	0.737
H	HM	N	9.5	9.5	604.3638867	5.12	209.45	204.33	141.37	136.25	68.08	33.3186512	2.2	101.07	98.87	0.523
H	HM	S	9.5	10	636.1725124	5.07	193.37	188.3	140.77	135.7	52.6	27.93414764	2.3	117.95	115.65	0.528
H	HM	E	9	9	572.5552611	5.09	196.55	191.46	137.87	132.78	58.68	30.64869947	2.2	99.64	97.44	0.645
H	HM	W	8.5	9	572.5552611	5.73	179.69	173.96	124.42	118.69	55.27	31.77167165	2.2	110.26	108.06	0.736
H	HM	C	9.5	9.5	604.3638867	5.08	213.58	208.5	143.07	137.99	70.51	33.8177458	2.2	89.57	87.37	0.666
H	HB	N	8.5	10	636.1725124	5.09	198.41	193.32	131.94	126.85	66.47	34.38340575	2.28	104.09	101.81	0.546
H	HB	S	9	9.5	604.3638867	6.25	181.34	175.09	122.55	116.3	58.79	33.57701753	2.32	88.88	86.56	0.641
H	HB	E	8.5	10	636.1725124	6.13	206.83	200.7	139.77	133.64	67.06	33.41305431	2.2	96.77	94.57	0.592
H	HB	W	8	8	508.9380099	5.06	201.73	196.67	136	130.94	65.73	33.42146743	2.2	76.36	74.16	0.635
H	HB	C	7.5	10	636.1725124	6.34	178.27	171.93	122.64	116.3	55.63	32.35619147	2.2	60.73	58.53	0.511
H	HG	N	6	9	572.5552611	5.06	133.18	128.12	81.47	76.41	51.71	40.36059944	2.24	72.22	69.98	0.535
H	HG	S	7	9	572.5552611	5.61	132.38	126.77	76.93	71.32	55.45	43.74063264	2.25	56.66	54.41	0.515
H	HG	E	6.5	11	699.7897636	5.71	135.63	129.92	80.76	75.05	54.87	42.23368227	2.21	66.41	64.2	0.601
H	HG	W	9	10	636.1725124	5.08	184.23	179.15	112.08	107	72.15	40.27351382	2.12	101.43	99.31	0.616
H	HG	C	10.5	10.5	667.981138	5.87	243.35	237.48	159.04	153.17	84.31	35.50193701	2.25	138.23	135.98	0.508
P	PN	N	10	10	636.1725124	6	234.87	228.87	165.02	159.02	69.85	30.51950889	2.23	138.82	136.59	0.515
P	PN	S	10	10	636.1725124	5.72	249.43	243.71	182.17	176.45	67.26	27.59837512	2.26	162.74	160.48	0.684
P	PN	E	9	9	572.5552611	6.12	227.5	221.38	165.33	159.21	62.17	28.08293432	2.34	157.33	154.99	0.701
P	PN	W	8.5	11	699.7897636	6.17	195.33	189.16	135.68	129.51	59.65	31.53415098	2.27	116.59	114.32	0.716
P	PN	C	8.5	9.5	604.3638867	5.68	227.99	222.31	164.29	158.61	63.7	28.6536818	2.24	143.14	140.9	0.585
P	PS	N	7.5	8.5	540.7466355	5.08	162.91	157.83	108.33	103.25	54.58	34.58151175	2.21	92.89	90.68	0.723
